Ticker,Company,Industry,Headquarter,Date added to SP500,Founded
A,Agilent Technologies,Health Care,California,6/5/2000,1999
AAL,American Airlines Group,Industrials,Texas,3/23/2015,1934
AAP,Advance Auto Parts,Consumer Discretionary,North Carolina,7/9/2015,1932
AAPL,Apple,Information Technology,California,11/30/1982,1977
ABBV,AbbVie,Health Care,Illinois,12/31/2012,1888
ABC,AmerisourceBergen,Health Care,Pennsylvania,8/30/2001,1985
ABMD,Abiomed,Health Care,Massachusetts,5/31/2018,1981
ABT,Abbott Laboratories,Health Care,Illinois,3/31/1964,1888
ACN,Accenture,Information Technology,Ireland,7/6/2011,1989
ADBE,Adobe,Information Technology,California,5/5/1997,1982
ADI,Analog Devices,Information Technology,Massachusetts,10/12/1999,1965
ADM,ADM,Consumer Staples,Illinois,7/29/1981,1902
ADP,Automatic Data Processing,Information Technology,New Jersey,3/31/1981,1949
ADSK,Autodesk,Information Technology,California,12/1/1989,1982
AEE,Ameren Corp,Utilities,Missouri,9/19/1991,1902
AEP,American Electric Power,Utilities,Ohio,3/4/1957,1906
AES,AES Corp,Utilities,Virginia,10/2/1998,1981
AFL,Aflac,Financials,Georgia,5/28/1999,1955
AIG,American International Group,Financials,New York,3/31/1980,1919
AIZ,Assurant,Financials,New York,4/10/2007,1892
AJG,Arthur J. Gallagher & Co.,Financials,Illinois,5/31/2016,1927
AKAM,Akamai Technologies,Information Technology,Massachusetts,7/12/2007,1998
ALB,Albemarle Corporation,Materials,North Carolina,7/1/2016,1994
ALGN,Align Technology,Health Care,California,6/19/2017,1997
ALK,Alaska Air Group,Industrials,Washington,5/13/2016,1985
ALL,Allstate Corp,Financials,Illinois,7/13/1995,1931
ALLE,Allegion,Industrials,New York,12/2/2013,1908
AMAT,Applied Materials,Information Technology,California,3/16/1995,1967
AMCR,Amcor,Materials,Switzerland,6/7/2019,1860
AMD,Advanced Micro Devices,Information Technology,California,,1969
AME,Ametek,Industrials,Pennsylvania,9/23/2013,1930
AMGN,Amgen,Health Care,California,1/2/1992,1980
AMP,Ameriprise Financial,Financials,Minnesota,10/3/2005,1894
AMT,American Tower,Real Estate,Massachusetts,11/19/2007,1995
AMZN,Amazon,Consumer Discretionary,Washington,11/18/2005,1994
ANET,Arista Networks,Information Technology,California,8/28/2018,2004
ANSS,Ansys,Information Technology,Pennsylvania,6/19/2017,1969
ANTM,Anthem,Health Care,Indiana,7/25/2002,1946
AON,Aon,Financials,UK,4/23/1996,1919
