MB Slc6a3 Dopa,#da4873
OLF Slc6a3 Dopa,#ab4166
BST D1 Gaba,#d2446b
CB Dmbx1 Gaba,#8f4457
CNU Ebf1 Bnc2 Gaba,#d24069
CNU Ebf1 Gaba,#a43a49
CNU-HY Lhx6/Sox6 Gaba,#dc3770
CNU-HY Lhx8 1 Gaba,#d5477e
CNU-HY Lhx8 2 Gaba,#a14854
CNU-HY Lhx8 3 Gaba,#d48c90
CTXsp/RHP/sAMY Htr3a Gaba,#d38c92
CTXsp/RHP/sAMY Ndnf Gaba,#d76b7b
CTXsp/sAMY Vdr Gaba,#af6469
Golgi Gaba,#965857
HB Foxd3 Gaba,#dd4332
HB Gata3 Gaba,#8a4851
HB Gata3 Slc6a5 Gaba,#d48e9e
HB Gbx2 Gaba,#e14541
HB Mecom Gaba,#99413b
HB Otp Gaba,#d73854
HB Otp Pax7 Gaba,#d1383e
HB Otp Slc6a5 Gaba,#db4535
HB Pax6 Gaba,#de424e
HB Sap18b Gaba,#e27c67
HB Tfap2b Gaba,#c34c5f
HY Bsx Lef1 Gaba,#df404c
HY Foxd2 Gaba,#d78f7a
HY Gsc Gaba,#d64532
HY Gsx1 Gaba,#e07666
HY Hmx2 Gaba,#904533
HY Lhx1 Gaba,#d17f64
HY Nkx2-4 Gaba,#9b4729
HY Onecut3 Gaba,#e08c7c
HY Otp Six6 Gaba,#9c3d26
HY Prdm12 Gaba,#c63a32
HY Prdm13 Gaba,#a74737
HY Satb2 Gaba,#df8861
HY Six3 Gaba,#d95029
HY Six6 Gaba,#d67759
HY Slc6a3 Gaba,#e26b2f
HY Tac2 Gaba,#db9c7a
HY Tbx3 Gaba,#d65328
HY/PAL/STR Folh1 Gaba,#8d5845
HY/TH Gnb3 Gaba,#da8c70
Lamp5 Gaba,#dd5c2e
Lamp5 Lhx6 Gaba,#db8239
LSX Nkx2-1 Gaba,#8f5e34
LSX Otx2 Gaba,#94452b
LSX Prdm12 do Gaba,#d17526
LSX Prdm12 Gaba,#964820
LSX Prdm12 ve Gaba,#da8034
LSX Sall3 Gaba,#9c5926
LSX/HY Otx2 Gaba,#da812d
MB Cdh23 Gaba,#e0622f
MB Dmbx1 Gaba,#cb8032
MB En1 Sox2 Gaba,#825b32
MB Epyc Gaba,#d27e2a
MB Fgf7 Gaba,#d4ac7c
MB Foxa2 Gaba,#caa73c
MB Gabrr2 Gaba,#d5a87b
MB Gata3 Gaba,#965724
MB Gata3 Pax5 Gaba,#d7a578
MB Gata3 Pax7 Gaba,#dab740
MB Mecom Gaba,#caad65
MB Ngfr Gaba,#d5a035
MB Nkx2-2 Gaba,#dbb53f
MB Otp Chrna5 Gaba,#c08a33
MB Otp Pax7 Gaba,#796730
MB Pax5 Gaba,#db9f39
MB Pax8 Gaba,#99782e
MB Pax8 Otx1 Gaba,#d68d32
MB Ror1 Gaba,#855d34
MB Slc26a7 Gaba,#9b852e
MB Slc6a5 Gaba,#d3b02e
MB Slc6a5 Otp Gaba,#786732
MB Tcf7l2 Gaba,#6b5a2a
MB Tnnt1 Gli3 Gaba,#775f35
Meis2 Gaba,#b7c332
MLI1 Gaba,#716235
MLI2 Gaba,#d3b33e
MSN D1 Gaba,#c6af7b
MSN D1 outer Gaba,#dab43a
MSN D2 Gaba,#c6b57f
MY Dmbx1 Gaba,#6c6b2e
MY F5 Gaba,#c0b580
MY Gbx2 Gaba,#97842b
MY Gucy2d Gaba,#d6b73f
MY Hoxb8 Gaba,#b0b27a
MY Il22 Edaradd Gaba,#8d8931
MY Il22 Gaba,#626530
MY Neurog2 Gaba,#726336
MY Pax6 Gaba,#8c862f
MY Pkd2l1 Gaba,#a1c43c
MY Slc39a8 Gaba,#b0c43e
MY Slc6a5 Gaba,#cdc33a
MY Ttc6 Gaba,#998c61
MY Zbtb42 Gaba,#70772b
OLF Frmd7 Gaba,#8eb658
OLF IMN Gaba,#bbc33d
OLF Trdn Gaba,#a4c23b
PAL Avp Gaba,#d8b93e
PAL/sAMY Crh Gaba,#adc062
PAL/sAMY Htr3a Gaba,#97b662
PAL/sAMY Six3 Cyp26b1 Gaba,#a6bb7e
PAL/sAMY Sox6 Cyp26b1 Gaba,#96a948
PLI Gaba,#9fc63c
PONS Pax6 Gaba,#a9c13b
Prox1 Lhx6 Gaba,#4c782b
Purkinje Gaba,#a7bf7f
Pvalb Gaba,#a9be7b
sAMY/PAL Chst9 Gaba,#8f8d38
sAMY/PAL Six3 Lamp5 Gaba,#a3c63a
sAMY/PAL Six3 Meis2 Gaba,#566b33
sAMY/PAL Six3 Sp8 Gaba,#6f9c35
sAMY/PAL/OLF Prox1 Gaba,#8fcf40
SCH Gaba,#a6bb7a
Sncg Gaba,#77ce42
Sst Chodl Gaba,#5b9e3d
Sst Gaba,#558932
TH Otx2 Gaba,#a3c448
TH/HY Gata3 Gaba,#51682f
TH/HY Pax6 Gaba,#5fcb42
Vip Gaba,#7ccd3c
AON IT Glut,#487430
CA1-ProS Glut,#4b7935
CA2 Glut,#6ec841
CA3 Glut,#3eb856
Car3 Glut,#4b7e30
CLA-Epd IT Glut,#a3b585
CR Glut,#42862f
CT SUB Glut,#3b8137
CTXsp/sAMY Abca8a Glut,#4bb548
CTXsp/sAMY Cyp26b1 Glut,#54bf53
CTXsp/sAMY Dcn Glut,#488832
CTXsp/sAMY/OLF Ecm2 Glut,#62c78e
CTXsp/sAMY/PAL Slc17a7 Glut,#447133
DG Glut,#396f49
Golgi Glut,#5cc54f
Granule Glut,#498e31
HB Dbh Glut,#5ec971
HB Evx2 Glut,#52cb60
HB Fat2 Glut,#63c395
HB Foxb1 Glut,#54cf73
HB Foxd3 Glut,#3f795c
HB Gata3 Glut,#58d091
HB Irx4 Glut,#70ab83
HB Lmx1a Glut,#75c78f
HB Mecom Glut,#60cc42
HB Pax5 Glut,#68a77f
HB Phox2b Glut,#437b5a
HB Sap18b Glut,#508f6f
HB Tlx1 Slc17a7 Glut,#3f7e6e
HB Tlx3 Glut,#48805c
HY Barhl2 Glut,#69c5b6
HY Eomes Glut,#61aa89
HY Foxa1 Glut,#58cd8d
HY Foxb1 Glut,#458160
HY Gnrh1 Glut,#74ba7c
HY Hmx2 Glut,#5dd19f
HY Nkx2-4 Glut,#62c88f
HY Otp_1 Glut,#62c8c6
HY Otp_2 Glut,#61c6ca
HY Otp_3 Glut,#66c794
HY Otp_4 Glut,#55aec4
HY Otp_5 Glut,#337467
HY Otp_6 Glut,#5ecaca
HY Otp_7 Glut,#60c3ca
HY Otp_8 Glut,#56cc79
HY Otp_9 Glut,#367669
HY Pitx2 Glut,#66c3b3
HY Pmch Glut,#317788
HY Skor2 Glut,#59aad0
HY Tbx3 Glut,#62c2bd
HY Vgll2 Glut,#77a6e0
HY/MB Pitx2 Glut,#5fcbcf
HY/PAL Tbr1 Glut,#388a8b
L2 IT ENTm Glut,#3f7d99
L2 IT HATA Glut,#408266
L2 IT ProS Glut,#5dc5c3
L2/3 IT CTX Glut,#6caedc
L2/3 IT ENTl/PIR Glut,#4c6a8e
L2/3 IT PPP Glut,#317582
L3 IT ENT Glut,#4d6a93
L4 RSP-ACA Glut,#5ca7cb
L4/5 IT CTX Glut,#6aadd9
L5 IT CTX Glut,#86a1dc
L5 NP CTX Glut,#5acbb0
L5 PPP Glut,#5aaed3
L5 PT CTX Glut,#3b708d
L5/6 IT TPE-ENT Glut,#5c6699
L6 CT CTX Glut,#6b8ce0
L6 CT CTXsp Glut,#6ab2dc
L6 IT CTX Glut,#5f6ec4
L6b CTX Glut,#546290
L6b CTXsp/ENT Glut,#4f6b98
L6b/CT ENT Glut,#6271d2
LSX/PAL/HY Bsx Glut,#62bdd2
MB C1ql2 Glut,#4a6994
MB C1ql4 Glut,#87aadd
MB Dmrta2 1 Glut,#6778d6
MB Dmrta2 2 Glut,#9ca6dc
MB Eomes Glut,#576fa0
MB Evx2 Glut,#6965e9
MB Foxb1 Glut,#8d9edc
MB Nkx2-2 Glut,#6b84e0
MB Nkx6-1 Glut,#615a93
MB Nmu Glut,#3d7891
MB Npffr2 Glut,#9ea3dc
MB Npl Glut,#5f82d2
MB Pax6 Glut,#644cca
MB Pde5a Glut,#515fa3
MB Pik3c2g Glut,#667fdc
MB Pitx2 Glut,#6c3fb8
MB Pou4f1 Glut,#606ac5
MB Pou4f3 Glut,#6251af
MB Runx1 Glut,#5955d8
MB Shox2 Glut,#839fde
MB Slc6a5 Glut,#606fcb
MB Sln Glut,#555dd2
MB Tcf24 Glut,#c09fd3
MB Tcf7l2 Glut,#6b6cde
MB Tfap2b 1 Glut,#7853d1
MB Tfap2b 2 Glut,#be82de
MB Tfap2b Chrnb3 Glut,#5b59db
MB Tfap2b Glut,#6f50d5
MB Tfap2d Maf Glut,#9249bf
MB Tph1 Glut,#5c639c
MB/PONS Vsx2 Glut,#7350cf
MY Ccdc172 Glut,#6f598f
MY Dmbx1 Glut,#b86ee3
MY Gpx2 Glut,#7a49ce
MY Mafa Glut,#724c93
MY Mgl2 Glut,#c64dd2
MY Nmu Glut,#9446bf
MY Slc6a2 C1ql2 Glut,#c79ede
NP PPP Glut,#cc86d5
NP SUB Glut,#6163d3
