boto3|376423964
botocore|238905727
urllib3|233856611
setuptools|214855886
requests|212621430
s3transfer|191496632
google-api-core|172912499
charset-normalizer|169294743
certifi|166702759
python-dateutil|166700747
idna|163826476
typing-extensions|162095439
six|159384285
PyYAML|152896954
cryptography|138618886
awscli|134047956
numpy|128328565
wheel|113964602
pyparsing|111279560
rsa|110184314
packaging|109874716
pyasn1|106674235
pip|106506648
pytz|106042945
jmespath|102854622
PyJWT|101884675
importlib-metadata|101600292
pandas|100256846
zipp|99617758
protobuf|98736834
colorama|96392667
oauthlib|91619622
attrs|90504247
click|90075871
cffi|89723602
requests-oauthlib|81937092
markupsafe|81711858
jinja2|81058270
pycparser|77443081
google-auth|71342873
docutils|70521918
cachetools|69337647
googleapis-common-protos|66991575
pyarrow|66422025
pyasn1-modules|64975904
aiobotocore|64568553
wrapt|63954452
lxml|62942210
psutil|62724197
google-cloud-bigquery|59766548
isodate|56454713
grpcio|55580709
sqlalchemy|55100611
fsspec|53267841
azure-core|52159757
werkzeug|52080758
async-timeout|51698290
s3fs|51313220
google-cloud-storage|50205612
decorator|49555626
aiohttp|49446981
flask|49055886
chardet|48441563
yarl|47335528
multidict|47097711
pyOpenSSL|47009548
greenlet|46984564
msrest|46670376
tomli|45849325
jsonschema|45659143
soupsieve|44770008
filelock|44390162
py|44132497
scipy|43833433
frozenlist|43769282
beautifulsoup4|43446219
pytest|43408085
pluggy|43109198
importlib-resources|43043745
Pillow|42692436
google-cloud-core|42668917
asn1crypto|42619841
platformdirs|42354855
aiosignal|42307899
tqdm|41954443
tabulate|41147417
google-resumable-media|40785471
pyrsistent|39383668
websocket-client|39236773
openpyxl|38897451
et-xmlfile|38843572
azure-storage-blob|38296095
itsdangerous|36150164
proto-plus|35890225
virtualenv|34559279
azure-common|34364759
future|34086215
iniconfig|33898496
psycopg2-binary|33527974
pydantic|33445871
scikit-learn|32646063
pygments|32540843
requests-toolbelt|32498059
toml|32185481
pymysql|31712750
mypy-extensions|31677196
PyNaCl|31519049
deprecated|31072026
httplib2|30831881
bcrypt|30655371
google-auth-oauthlib|30362983
distlib|30314196
paramiko|29639686
py4j|29628340
docker|29361013
GitPython|29129336
cloudpickle|28786415
coverage|28462079
matplotlib|28042309
smmap|27843538
grpcio-status|27832939
redis|27410225
gitdb|27386415
sqlparse|26982468
cython|26286156
google-crc32c|26058331
msal|25861411
more-itertools|25819136
pyspark|25803981
tzdata|25617198
google-api-python-client|25394309
termcolor|25352688
pycryptodomex|24957481
gunicorn|24764144
portalocker|24638746
kiwisolver|24581635
sniffio|23992844
msal-extensions|23854305
pycodestyle|23789489
pexpect|23584534
cycler|23466572
ptyprocess|23407769
adal|23259479
keyring|23126009
msgpack|22849175
uritemplate|22828055
wcwidth|22432005
pathspec|22158762
pymongo|21727534
regex|21657962
scramp|21606717
snowflake-connector-python|21552863
webencodings|21476735
alembic|21092628
oscrypto|21033270
markdown|21023200
mccabe|21017151
cfn-lint|20976343
dill|20959404
mako|20891653
pyodbc|20868842
tzlocal|20679217
ply|20460342
isort|20460275
azure-identity|20457557
datadog|20434344
joblib|20364962
google-cloud-pubsub|20265900
asynctest|19731859
marshmallow|19488086
h11|19399413
oauth2client|19105877
absl-py|19057119
pg8000|18965265
secretstorage|18797588
tenacity|18666013
xlrd|18481326
tornado|18350278
xmltodict|18301411
google-auth-httplib2|18252986
jeepney|17955559
prompt-toolkit|17930939
ruamel.yaml|17899466
threadpoolctl|17825522
redshift-connector|17532569
pyathena|17447230
databricks-cli|17413252
networkx|17270540
sentry-sdk|17142909
pbr|17035714
tensorflow-serving-api|16962450
tensorboard|16821644
prometheus-client|16714612
jsonpath-ng|16528282
typing-inspect|16509139
backoff|16492816
ruamel.yaml.clib|16315977
python-dotenv|16201915
requests-aws4auth|16060602
pkginfo|16053993
grpc-google-iam-v1|15926358
nest-asyncio|15641636
defusedxml|15596726
toolz|15434865
ipython|15341205
dnspython|15302022
flake8|15241929
tensorflow|15214878
pyflakes|14978355
traitlets|14974758
