eht2017,IRAM,SMT,SMA,LMT,ALMA,SPT,APEX,JCMT,,,,,,,,,,,,,
eht2022,IRAM,SMT,SMA,LMT,ALMA,SPT,APEX,JCMT,GLT,NOEMA,KP,,,,,,,,,,
ngEHT Ref. Array 1.1A,OVRO,BAR,BAJA,HAY,CNI,SGO,CAT,GAM,GARS,NZ,,,,,,,,,,,
ngEHT Ref. Array 1.1A + EHT2022,OVRO,BAR,BAJA,HAY,CNI,SGO,CAT,GAM,GARS,NZ,IRAM,SMT,SMA,LMT,ALMA,SPT,APEX,JCMT,GLT,NOEMA,KP
ngEHT Ref. Array 1.1B,PIKE,BAJA,CNI,SGO,CAS,LLA,GAM,NZ,,,,,,,,,,,,,
ngEHT Ref. Array 1.1B + EHT2022,PIKE,BAJA,CNI,SGO,CAS,LLA,GAM,NZ,IRAM,SMT,SMA,LMT,ALMA,SPT,APEX,JCMT,GLT,NOEMA,KP,,
