NAME,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec
M87,12,30,49.42338,12,23,28.0439
Sgr A*,17,45,40.049,-29,0,28.118
M31,0,42,44.3,41,16,9
Cen A,13,25,27.6,-43,1,9
OJ 287,8,54,48.9,20,6,31
3C 279,12,56,11.1,-5,47,22
