route,path,MAE,RMSE,MAPE,ACC,max_error_time,max_error_link,max_abs_error,max_error_true,max_error_pred
133,0,9.46,17.1,18.54,81.46,2022-09-19 11:00:00,104_0_133,296.84,345.0,48.16
133,1,8.09,15.69,15.37,84.63,2022-09-14 17:30:00,81_1_133,382.78,465.0,82.22
35,0,12.38,19.62,19.14,80.86,2022-09-09 06:30:00,48_0_35,193.61,330.0,136.39
56,0,12.19,21.13,19.78,80.22,2022-08-30 18:00:00,10_0_56,290.19,120.0,410.19
56,1,11.1,19.59,19.38,80.62,2022-08-31 06:30:00,28_1_56,297.93,405.0,107.07
6,0,8.94,15.27,17.93,82.07,2022-08-27 16:00:00,58_0_6,222.68,375.0,152.32
6,1,7.53,11.84,18.32,81.68,2022-08-30 06:00:00,24_1_6,118.87,90.0,208.87
